code,county,totalpop,income,incomepercap,crime_rate_per_100000
Alabama,Autauga,55221,51281,24974,251.6019259
Alabama,Baldwin,195121,50254,27317,228.086325
Alabama,Barbour,26932,32964,16824,177.2787709
Alabama,Bibb,22604,38678,18431,217.6616915
Alabama,Blount,57710,45813,20532,210.8100636
Alabama,Bullock,10678,31938,17580,526.3652599
Alabama,Butler,20354,32229,18390,537.8731804
Alabama,Calhoun,116648,41703,21374,580.7976974
Alabama,Chambers,34079,34177,21071,562.0279843
Alabama,Cherokee,26008,36296,21811,415.9829027
Alabama,Chilton,43819,41627,21399,354.9407294
Alabama,Choctaw,13395,33536,20755,96.82705199
Alabama,Clarke,25070,32011,20064,480.0253898
Alabama,Clay,13537,35327,18905,430.075634
Alabama,Cleburne,15002,38056,20151,193.4106976
Alabama,Coffee,50884,46729,24936,341.591739
Alabama,Colbert,54444,40576,22546,482.3917828
Alabama,Conecuh,12865,24900,15968,644.0599053
Alabama,Coosa,11027,31212,17519,192.6959075
Alabama,Covington,37886,36444,20977,258.6707491
Alabama,Crenshaw,13938,36022,20585,479.0504791
Alabama,Cullman,80965,38971,20881,237.591417
Alabama,Dale,49866,45028,22566,410.9534119
Alabama,Dallas,42154,27306,17808,828.6503477
Alabama,DeKalb,71068,38192,18411,381.6202667
Alabama,Elmore,80763,53555,24381,284.2945786
Alabama,Escambia,37935,32330,17045,618.6978385
Alabama,Etowah,103766,39220,20500,513.8024266
Alabama,Fayette,16896,34680,19545,230.6464013
Alabama,Franklin,31634,35372,18595,497.9068882
Alabama,Geneva,26815,36024,20224,318.0304561
Alabama,Greene,8697,20541,13611,903.4766697
Alabama,Hale,15256,32714,18877,136.3105284
Alabama,Henry,17252,41997,22931,387.372803
Alabama,Houston,103534,41571,23925,401.2810125
Alabama,Jackson,52860,37745,20066,385.2618459
Alabama,Jefferson,659026,45610,27240,798.3574913
Alabama,Lamar,14133,35450,20130,133.4644563
Alabama,Lauderdale,92737,43125,24215,262.9395347
Alabama,Lawrence,33586,40003,21369,294.7569
Alabama,Lee,150982,44570,24356,246.4669754
Alabama,Limestone,88805,49570,25569,151.9500253
Alabama,Lowndes,10742,25876,18429,597.9631879
Alabama,Macon,20018,30738,17374,919.341731
Alabama,Madison,346438,57993,32131,603.3578174
Alabama,Marengo,20306,32042,21471,461.4239643
Alabama,Marion,30387,32299,20042,280.2136217
Alabama,Marshall,94318,38983,21363,186.7876741
Alabama,Mobile,414251,43809,22953,552.3100664
Alabama,Monroe,22217,27257,15863,481.201655
Alabama,Montgomery,228138,44369,25138,396.6310625
Alabama,Morgan,119786,45751,24449,254.6186147
Alabama,Perry,10038,24537,14804,0
Alabama,Pickens,19856,30330,17957,216.4836864
Alabama,Pike,33155,32825,19415,413.929632
Alabama,Randolph,22648,36924,19363,268.4032208
Alabama,Russell,58302,37049,19882,449.7776286
Alabama,St. Clair,85864,51859,24168,203.9208416
Alabama,Shelby,203530,70187,33494,176.8047801
Alabama,Sumter,13341,19501,12887,553.8507597
Alabama,Talladega,81437,35155,19598,326.7732071
Alabama,Tallapoosa,41153,39206,21177,497.5365871
Alabama,Tuscaloosa,200458,46565,23124,432.2257134
Alabama,Walker,65923,35843,20166,443.9528471
Alabama,Washington,16997,42811,19743,325.8873022
Alabama,Wilcox,11235,23750,14170,336.0749978
Alabama,Winston,24130,33194,18808,372.7325437
Alaska,Aleutians East Borough,3304,61518,28608,0
Alaska,Aleutians West Census Area,5684,84306,31754,235.8918527
Alaska,Anchorage Municipality,299107,78326,36920,824.7217146
Alaska,Bethel Census Area,17776,51012,17746,275.9319743
Alaska,Bristol Bay Borough,970,79750,38267,104.1666667
Alaska,Dillingham Census Area,4979,54173,22257,938.1237525
Alaska,Fairbanks North Star Borough,99705,71068,33244,182.2055837
Alaska,Haines Borough,2560,58750,33902,154.3209877
Alaska,Juneau City and Borough,32531,85746,39979,352.1126761
Alaska,Kenai Peninsula Borough,57221,63684,31537,167.9878209
Alaska,Ketchikan Gateway Borough,13699,64222,32021,211.2316993
Alaska,Kodiak Island Borough,13973,70887,30657,856.0311284
Alaska,Lake and Peninsula Borough,1474,50781,23041,0
Alaska,Matanuska-Susitna Borough,96178,72983,29913,64.08101521
Alaska,Nome Census Area,9854,48868,19804,232.5111201
Alaska,North Slope Borough,9667,72576,51085,722.6925459
Alaska,Northwest Arctic Borough,7732,63648,21101,1014.964216
Alaska,Sitka City and Borough,8943,70376,33890,133.037694
Alaska,Southeast Fairbanks Census Area,7029,62670,30079,0
Alaska,Valdez-Cordova Census Area,9617,78810,33293,184.3695585
Alaska,Yakutat City and Borough,643,72500,33159,0
Alaska,Yukon-Koyukuk Census Area,5644,38491,20698,0
Arizona,Apache,72124,31757,13011,95.92126116
Arizona,Cochise,129647,45075,23506,590.856781
Arizona,Coconino,136701,50234,24308,334.7029054
Arizona,Gila,53165,39751,20583,245.0379809
Arizona,Graham,37407,45964,17481,613.6278747
Arizona,Greenlee,9023,51628,21994,607.8019671
Arizona,La Paz,20335,34466,20439,398.5435938
Arizona,Maricopa,4018143,54229,27832,410.2097764
Arizona,Mohave,203362,38488,20974,180.7614638
Arizona,Navajo,107656,35921,16486,357.8017555
Arizona,Pima,998537,46162,25729,478.147697
Arizona,Pinal,389772,49477,21130,196.481315
Arizona,Santa Cruz,47073,40140,17795,113.3253507
Arizona,Yavapai,215996,44748,25418,319.8021689
Arizona,Yuma,202987,40743,19102,346.4197494
Arkansas,Arkansas,18731,36411,22473,591.1487458
Arkansas,Ashley,21229,34263,19891,244.3264577
Arkansas,Baxter,41040,35396,22475,119.6376688
Arkansas,Benton,238198,56239,27934,267.1757334
Arkansas,Boone,37227,39251,21946,355.653011
Arkansas,Bradley,11206,33701,20252,275.5800516
Arkansas,Calhoun,5245,36899,20537,190.8032818
Arkansas,Carroll,27635,36897,20195,248.1300345
Arkansas,Chicot,11353,28913,19053,591.0895457
Arkansas,Clark,22751,35031,19555,386.9322429
Arkansas,Clay,15400,32552,19166,90.89728607
Arkansas,Cleburne,25711,42905,24912,245.2697968
Arkansas,Cleveland,8510,43158,21905,81.46165484
Arkansas,Columbia,24327,36619,20045,190.3658335
Arkansas,Conway,21110,37732,21897,268.2984232
Arkansas,Craighead,101409,42475,23091,322.205581
Arkansas,Crawford,61748,41268,20849,316.3530175
Arkansas,Crittenden,49765,38004,19682,1754.914968
Arkansas,Cross,17467,38103,19543,347.6179622
Arkansas,Dallas,7868,34084,17868,516.8284382
Arkansas,Desha,12379,27197,17788,415.8336665
Arkansas,Drew,18740,32819,17481,361.9909502
Arkansas,Faulkner,119343,51223,24603,314.4338518
Arkansas,Franklin,17866,39285,19550,316.0696462
Arkansas,Fulton,12224,37066,19163,146.2938882
Arkansas,Garland,96954,38733,24070,388.9969436
Arkansas,Grant,18054,46171,23686,310.7830623
Arkansas,Greene,43382,41286,20689,280.762002
Arkansas,Hempstead,22336,32122,17049,649.6395835
Arkansas,Hot Spring,33316,40000,18956,65.67164179
Arkansas,Howard,13555,34229,21273,309.2555776
Arkansas,Independence,36952,36265,20242,562.2077466
Arkansas,Izard,13480,32630,18995,201.9748654
Arkansas,Jackson,17597,31261,17797,363.3267102
Arkansas,Jefferson,73548,36747,19885,959.1343198
Arkansas,Johnson,25930,34139,19341,205.0607444
Arkansas,Lafayette,7270,31194,20904,55.15719801
Arkansas,Lawrence,17029,32379,17312,129.3280818
Arkansas,Lee,9966,28393,14298,129.8052921
Arkansas,Lincoln,14062,32580,14377,114.0332122
Arkansas,Little River,12720,36205,19858,314.2183818
Arkansas,Logan,22001,35325,20011,194.7287383
Arkansas,Lonoke,70691,53631,23555,312.3542465
Arkansas,Madison,15702,37691,20693,299.3439908
Arkansas,Marion,16458,34195,17779,328.6670724
Arkansas,Miller,43652,40317,21104,956.1771347
Arkansas,Mississippi,44864,34612,19073,763.9897241
Arkansas,Monroe,7713,27647,17470,364.4884145
Arkansas,Montgomery,9197,33037,19975,0
Arkansas,Nevada,8793,30691,17277,215.9336288
Arkansas,Newton,8052,34536,18038,62.00396825
Arkansas,Ouachita,25044,31293,19810,355.9715223
Arkansas,Perry,10300,42346,22328,289.9951667
Arkansas,Phillips,20391,26844,16700,818.6675817
Arkansas,Pike,11087,33097,19294,80.52250157
Arkansas,Poinsett,24210,33070,17202,360.3230483
Arkansas,Polk,20364,33702,19004,289.1306478
Arkansas,Pope,62830,39810,20047,254.208835
